id,name,stationId,order
river-kent,River Kent,5126,3
river-leven-cumbria,River Leven,5160,1
river-lostock,River Lostock,5010,1
river-lostock,River Lostock,5083,2
river-lune,River Lune,5094,1
river-lune,River Lune,5077,2
river-lune,River Lune,5029,3
river-lune,River Lune,9127,4
river-lune,River Lune,5080,5
river-petteril,River Petteril,5100,1
river-petteril,River Petteril,5159,2
river-petteril,River Petteril,5172,3
river-petteril,River Petteril,5214,4
river-ribble,River Ribble,5086,1
river-ribble,River Ribble,5109,2
river-ribble,River Ribble,5056,3
river-ribble,River Ribble,5091,4
river-ribble,River Ribble,5066,5
river-ribble,River Ribble,5099,6
river-ribble,River Ribble,5119,7
river-ribble,River Ribble,5122,8
river-ribble,River Ribble,5146,9
river-wenning,River Wenning,5012,1
river-wenning,River Wenning,5184,2
river-wenning,River Wenning,5148,3
river-wenning,River Wenning,5072,4
river-wyre,River Wyre,5001,1
river-wyre,River Wyre,5186,2
river-wyre,River Wyre,5055,3
river-wyre,River Wyre,9132,4
river-wyre,River Wyre,5030,5
river-wyre,River Wyre,5132,6
river-yarrow,River Yarrow,5111,1
river-yarrow,River Yarrow,9114,2
river-yarrow,River Yarrow,5038,3
river-yarrow,River Yarrow,9115,4
thacka-beck,Thacka Beck,5212,1
thacka-beck,Thacka Beck,5204,2
thacka-beck,Thacka Beck,5208,3
ullswater,Ullswater,5166,1
wiza-beck,Wiza Beck,5216,1
wiza-beck,Wiza Beck,5221,2
trout-beck-cumbria,Trout Beck,5220,1
black-brook,Black Brook,2161,1
bottle-brook,Bottle Brook,2191,1
cocker-beck,Cocker Beck,2215,1
day-brook,Day Brook,2231,1
dover-beck,Dover Beck,2232,1
grace-dieu-brook,Grace Dieu Brook,2233,1
river-amber,River Amber,2120,1
river-derwent-derbyshire,River Derwent,2097,1
river-derwent-derbyshire,River Derwent,2230,2
river-derwent-derbyshire,River Derwent,2118,3
river-derwent-derbyshire,River Derwent,2103,4
river-derwent-derbyshire,River Derwent,2138,5
river-derwent-derbyshire,River Derwent,2130,6
river-devon,River Devon,2190,1
river-eau,River Eau,2211,1
river-ecclesbourne,River Ecclesbourne,2124,1
river-erewash,River Erewash,2155,1
river-erewash,River Erewash,2159,2
river-erewash,River Erewash,2164,3
river-greet,River Greet,2216,1
river-greet,River Greet,2156,2
river-greet,River Greet,2106,3
river-leen,River Leen,2165,1
river-leen,River Leen,2163,2
river-maun,River Maun,2212,1
river-maun,River Maun,2146,2
river-maun,River Maun,2147,3
river-meden,River Meden,2186,1
river-meden,River Meden,2148,2
river-poulter,River Poulter,2114,1
river-ryton,River Ryton,2121,1
river-ryton,River Ryton,2141,2
river-sence-leicestershire,River Sence,2139,1
river-sence-leicestershire,River Sence,2188,2
river-sence-leicestershire-west,River Sence,9080,1
river-smite,River Smite,2213,1
river-soar,River Soar,2187,1
river-soar,River Soar,2136,2
river-soar,River Soar,2158,3
river-soar,River Soar,2142,4
river-soar,River Soar,2132,5
river-trent,River Trent,9068,1
river-trent,River Trent,2116,2
river-trent,River Trent,9077,3
river-trent,River Trent,2137,4
river-trent,River Trent,2099,5
river-trent,River Trent,2104,6
river-trent,River Trent,2108,7
river-trent,River Trent,2152,8
river-trent,River Trent,2100,9
river-trent,River Trent,2217,10
river-trent,River Trent,2102,11
river-trent,River Trent,2185,12
river-trent,River Trent,2109,13
river-trent,River Trent,2128,14
river-trent,River Trent,2145,15
river-trent,River Trent,2144,16
river-wreake,River Wreake,2192,1
river-wreake,River Wreake,2218,2
river-wreake,River Wreake,2111,3
river-wye-derbyshire,River Wye,2162,1
river-wye-derbyshire,River Wye,2110,2
rothley-brook,Rothley Brook,2189,1
rothley-brook,Rothley Brook,2125,2
whetstone-brook,Whetstone Brook,2160,1
wood-brook,Wood Brook,2168,1
aller-brook,Aller Brook,3204,1
